,Unnamed: 0,Star Name,Distance (ly),Mass(MJ),Radius (RJ)
0,0,,,,
1,1,,,,
2,2,,,,
3,3,,,,
4,4,,,,
5,5,,,,
6,6,,,,
7,7,,,,
8,8,,,,
9,9,,,,
10,10,,,,
11,11,,,,
12,12,,,,
13,13,,,,
14,14,,,,
15,15,,,,
16,16,,,,
17,17,,,,
18,18,,,,
19,19,,,,
20,20,,,,
21,21,,,,
22,22,,,,
23,23,,,,
24,24,,,,
25,25,,,,
26,26,,,,
27,27,,,,
28,28,,,,
29,29,,,,
30,30,,,,
31,31,,,,
32,32,,,,
33,33,,,,
34,34,,,,
35,35,,,,
36,36,,,,
37,37,,,,
38,38,,,,
39,39,,,,
40,40,,,,
41,41,,,,
42,42,,,,
43,43,,,,
44,44,,,,
45,45,,,,
46,46,,,,
47,47,,,,
48,48,,,,
49,49,,,,
50,50,,,,
51,51,,,,
52,52,,,,
53,53,,,,
54,54,,,,
55,55,,,,
56,56,,,,
57,57,,,,
58,58,,,,
59,59,,,,
60,60,,,,
61,61,,,,
62,62,,,,
63,63,,,,
64,64,,,,
65,65,,,,
66,66,,,,
67,67,,,,
68,68,,,,
69,69,,,,
70,70,,,,
71,71,,,,
72,72,,,,
73,73,,,,
74,74,,,,
75,75,,,,
76,76,,,,
77,77,,,,
78,78,,,,
79,79,,,,
80,80,,,,
81,81,,,,
82,82,,,,
83,83,,,,
84,84,,,,
85,85,,,,
86,86,,,,
87,87,,,,
88,88,,,,
89,89,,,,
90,90,,,,
91,91,,,,
92,92,,,,
93,93,,,,
94,94,,,,
95,95,,,,
96,96,,,,
97,SDSS J000013.54+255418.6 [de],,,,
98,2MASS J08283419-1309198,,,,
99,2MASS J00040288-6410358,,,,
100,LHS 102BC,,,,
101,2MASS J00242463-0158201,,,,
102,2MASS J00250365+4759191AB,,,,
103,2MASS J00274197+0503417,,,,
104,2MASS J00275592+2219328,,,,
105,2MASSW J0030300-145033,,,,
106,2MASS J00332386-1521309 [de],,,,
107,2MASS J00345157+0523050,,,,
108,2MASS 0036+1821,,,,
109,2MASSW J0045214+163445,,,,
110,WISEP J004701.06+680352.1 [fr],,,,
111,2MASS J00501994-3322402 [de],,,,
112,2MASS J00034227-2822410,,,,
113,2MASS J00584253-0651239 [de],,,,
114,CFBDS J005910.90–011401.3,,,,
115,2MASSI J0103320+193536,,,,
116,SDSSp J010752.33+004156.1 [de],,,,
117,2MASSI J0117474-340325 [de],,,,
118,2MASS J01415823-4633574 [de],,,,
119,SDSS J015141.69+124429.6,,,,
120,DENIS-P J020529.0−115925A,,,,
121,DENIS-P J020529.0−115925B,,,,
122,DENIS-P J020529.0−115925C,,,,
123,SDSS J020742.48+000056.2 [de],,,,
124,2MASS J02103857-3015313,,,,
125,2MASS J02340093-6442068,,,,
126,2MASS J02411151-0326587 [de],,,,
127,2MASS J02431371−2453298,,,,
128,LP 771-21,,,,
129,2MASS J02511327+0047364,,,,
130,Teegarden's star,,,,
131,2MASS J02535980+3206373,,,,
132,WISE J0254+0223,,,,
133,DEN 0255-4700,,,,
134,2MASS J03185403-3421292 [de],,,,
135,2MASS J03205965+1854233,,,,
136,2MASS J03231002-4631237,,,,
137,SDSS J032553.17+042540.1,,,,
138,2MASS J03264225-2102057 [de],,,,
139,2MASS J03284265+2302051 [de],,,,
140,2MASS J03341218-4953322,,,,
141,LP 944-20,,,,
142,2MASP J0345432+254023,,,,
143,Teide 1,,,,
144,2MASS J03510004-0052452,,,,
145,2MASS J03552337+1133437,,,,
146,DENIS-P J035726.9-441730 [de],,,,
147,2MASS J04151954−0935066,,,,
148,SDSSp J042348.57-041403.5 [de],,,,
149,2MASS J04285096-2253227 [de],,,,
150,2MASS J04351612-1606574,,,,
151,2MASS J04362788-4114465,,,,
152,2MASS J04390101-2353083 [de],,,,
153,2MASS J04414489+2301513,,,,
154,2MASS J04433764+0002040,,,,
155,2MASS J04455387-3048204 [de],,,,
156,2MASS J04510093-3402150 [de],,,,
157,2MASS J05002100+0330501 [de],,,,
158,2MASS J05012406-0010452 [de],,,,
159,2MASS J05160945-0445499 [de],,,,
160,2MASS J0523−1403,,,,
161,2MASS 0532+8246,,,,
162,SDSS J053951.99-005902.0,,,,
163,2MASS J05591914-1404488 [de],,,,
164,LSR 0602+3910 [de],,,,
165,2MASS J06085283-2753583,,,,
166,WISEP J061135.13-041024.0A,,,,
167,WISEP J061135.13-041024.0B,,,,
168,2MASS J06244595-4521548 [de],,,,
169,2MASS J06411840-4322329 [de],,,,
170,DENIS-P J0652197-253450 [de],,,,
171,2MASS J07003664+3157266 [de],,,,
172,2MASS J07075327-4900503,,,,
173,UGPS J072227.51-054031.2,,,,
174,2MASSI J0727182+171001 [de],,,,
175,2MASS J07290002-3954043 [de],,,,
176,SDSS J074201.41+205520.5 [de],,,,
177,2MASS J0746425+200032 [fr],,,,
178,DENIS-P J0751164-253043 [de],,,,
179,2MASS J07522390+1612157,,,,
180,DENIS J081730.0-615520,,,,
181,DENIS J082303.1−491201A,,,,
182,DENIS J082303.1−491201B,,,,
183,2MASS J08251968+2115521 [de],,,,
184,SDSSp J083008.12+482847.4 [de],,,,
185,LHS 2021,,,,
186,SDSS J083048.80+012831.1 [de],,,,
187,2MASSI J0835425-081923 [de],,,,
188,2MASSI J0847287-153237 [de],,,,
189,2MASS J08533619-0329321,,,,
190,2MASSI J0859254-194926 [de],,,,
191,2MASSW J0920122+351742 [de],,,,
192,2MASSI J0937347+293142,,,,
193,2MASS 0939−2448,,,,
194,2MASS J09490860-1545485 [de],,,,
195,2MASS J10073369-4555147,,,,
196,2MASSI J1010148-040649 [de],,,,
197,2MASSI J1017075+130839 [de],,,,
198,SDSS J102109.69-030420.1,,,,
199,2MASS J10224821+5825453 [de],,,,
200,2MASSW J1036530-344138 [de],,,,
201,2MASS J1047538+212423 [de],,,,
202,DEN 1048-3956,,,,
203,Luhman 16B,,,,
204,Luhman 16A,,,,
205,DENIS-P J1058.7−1548,,,,
206,TWA 28,,,,
207,Cha 110913-773444,,,,
208,OTS 44,,,,
209,SDSS J111010.01+011613.1,,,,
210,2MASS J11145133−2618235,,,,
211,TWA 26,,,,
212,2MASSW J1146345+223053,,,,
213,2MASS J11544223-3400390 [de],,,,
214,2MASSW J1155395-372735 [de],,,,
215,TWA 27A,,,,
216,TWA 27B,,,,
217,2MASS J12074836-3900043,,,,
218,2MASSI J1217110-031113 [de],,,,
219,2MASS J12255432-2739466,,,,
220,DENIS-P J1228.2-1547,,,,
221,2M 1237+6526,,,,
222,2MASSW J1239272+551537 [de],,,,
223,TWA 29,,,,
224,SDSSp J125453.90-012247.4 [de],,,,
225,Kelu-1A,,,,
226,Kelu-1B,,,,
227,2MASS J13204427+0409045,,,,
228,SDSSp J132629.82-003831.5 [de],,,,
229,SDSSp J134646.45-003150.4 [de],,,,
230,2MASS J13595510-4034582,,,,
231,ULAS J141623.94+134836.3,,,,
232,SDSS J141659.78+500626.4 [de],,,,
233,DENIS-P J142527.97-365023.4 [de],,,,
234,LHS 2924,,,,
235,2MASS J14392837+1929150,,,,
236,LSPM J1440+1339,,,,
237,2MASS J14482563+1031590 [de],,,,
238,CFBDSIR 1458+10A,,,,
239,CFBDSIR 1458+10B,,,,
240,TVLM 513-46546,,,,
241,2MASS 1503+2525,,,,
242,CFBDS J150411+102717,,,,
243,2MASSW J1506544+132106 [de],,,,
244,2MASS 1507−1627,,,,
245,TVLM 868-110639,,,,
246,SDSS J151114.66+060742.9 [de],,,,
247,2MASSW J1515008+484742 [de],,,,
248,2MASSI J1526140+204341 [de],,,,
249,DENIS-P J153941.96-052042.4 [de],,,,
250,2MASS J15462718-3325111 [de],,,,
251,2MASSW J1552591+294849 [de],,,,
252,2MASSW J1555157-095605 [de],,,,
253,2MASS J16150413+1340079 [de],,,,
254,SDSSp J162414.37+002915.6 [de],,,,
255,2MASS J16262034+3925190 [de],,,,
256,2MASSW J1632291+190441 [de],,,,
257,WISEPA J164715.59+563208.2,,,,
258,LSPM J1658+7027 [de],,,,
259,2MASSI J1726000+153819,,,,
260,2MASSW J1728114+394859,,,,
261,SDSSp J175032.96+175903.9,,,,
262,2MASS J18283572-4849046,,,,
263,LSR J1835+3259,,,,
264,2MASSW J1841086+311727,,,,
265,2MASS J18432213+4040209,,,,
266,2MASS J20004841-7523070,,,,
267,SDSS J204749.61-071818.3,,,,
268,2MASSI J2057540-025230,,,,
269,2MASSW J2101154+175658,,,,
270,2MASSI J2104149-103736,,,,
271,PSO J318.5−22,,,,
272,HB 2124-4228,,,,
